Date,Open,High,Low,Close
2000-01-04,1114.2632,1147.1541,1104.8658,1134.4005
2000-01-05,1033.7138,1073.9883,1014.9190,1057.2073
2000-01-06,1060.5638,1067.2762,996.7957,1004.1794
2000-01-07,980.0146,996.1244,956.5211,982.6995
2000-01-10,982.6995,982.6995,982.6995,982.6995
2000-01-11,1110.2352,1110.2352,1070.6319,1090.7692
2000-01-12,1050.4948,1072.6459,1043.1112,1057.2073
2000-01-13,1040.4263,1053.8512,1032.3714,1053.8512
2000-01-14,1073.9883,1077.3446,1037.7412,1057.2073
2000-01-17,1069.9607,1070.6319,1047.1384,1055.1934
2000-01-18,1073.9885,1076.6735,1047.8100,1061.9061
2000-01-19,1061.9061,1068.6186,1027.0015,1039.7551
2000-01-20,1053.8513,1086.0709,1053.8513,1063.9199
2000-01-21,1073.9885,1083.3859,1067.2761,1073.9885
2000-01-24,1073.9881,1084.0567,1063.9194,1074.6593
2000-01-25,1060.5637,1081.3723,1055.1938,1061.2350
2000-01-26,1066.6047,1071.3034,1045.7961,1049.1523
2000-01-27,1053.8512,1059.2211,1047.8100,1052.5087
2000-01-28,1067.2759,1067.2759,1038.4124,1040.4261
2000-01-31,1037.0698,1053.1797,1020.9600,1020.9600
2000-02-01,1027.0014,1044.4537,1020.2890,1041.0975
2000-02-02,1053.8513,1069.2899,1041.0977,1064.5912
2000-02-03,1066.6049,1080.7010,1064.5911,1073.9885
2000-02-04,1073.9883,1080.0295,1059.8922,1067.2759
2000-02-07,1073.9884,1103.5230,1073.9884,1102.8518
2000-02-08,1114.2630,1118.2905,1088.0845,1097.4819
2000-02-09,1100.8378,1107.5502,1078.0156,1090.7692
2000-02-10,1073.9881,1082.0430,1065.9331,1074.6593
2000-02-11,1074.6593,1074.6593,1074.6593,1074.6593
2000-02-14,1069.9609,1097.4819,1061.9060,1084.7283
2000-02-15,1084.0573,1096.8109,1050.4952,1055.8651
2000-02-16,1055.8647,1057.8784,1035.7274,1039.0836
2000-02-17,1039.0840,1073.9887,1026.3304,1059.8926
2000-02-18,1080.0294,1080.0294,1035.0562,1035.7274
2000-02-21,1031.0290,1035.7277,1014.9192,1020.2891
2000-02-22,1020.2891,1022.3028,998.8093,1006.8643
2000-02-23,994.7820,998.8095,977.3297,990.7546
2000-02-24,1004.1799,1004.1799,994.1112,1000.8237
2000-02-25,1003.5083,1006.8645,988.0697,1002.8370
2000-02-28,1006.1932,1025.6593,996.1246,1013.5769
2000-02-29,1013.5768,1013.5768,986.0558,1006.1931
2000-03-01,1012.9053,1020.2890,1004.1791,1011.5628
2000-03-02,937.7261,961.2196,937.7261,952.4935
2000-03-03,939.0689,949.8088,916.2466,929.6715
2000-03-06,953.1647,964.5759,939.7399,940.4111
2000-03-07,943.0965,954.5076,941.7540,953.1651
2000-03-08,939.7399,964.5759,937.0549,959.8772
2000-03-09,963.2330,969.9454,947.1232,948.4656
2000-03-10,939.7397,943.0960,909.5338,915.5750
2000-03-13,875.3006,888.7255,792.7378,805.4914
2000-03-14,798.7788,834.3547,789.3814,812.2037
2000-03-15,798.7789,805.4913,785.3540,792.0665
2000-03-16,805.4911,851.8069,804.1487,851.8069
2000-03-17,865.9032,865.9032,846.4372,862.5470
2000-03-20,862.5470,862.5470,862.5470,862.5470
2000-03-21,835.6971,837.0396,817.5735,837.0396
2000-03-22,837.0397,842.4096,814.2174,830.9985
2000-03-23,837.0398,845.7660,825.6287,841.7385
2000-03-24,828.3135,839.0534,804.1488,839.0534
2000-03-27,852.4784,852.4784,822.9437,845.7659
2000-03-28,847.7842,849.1299,820.8705,847.7842
2000-03-29,841.0560,884.7910,839.7104,872.6797
2000-03-30,875.3711,886.8095,851.1487,857.8771
2000-03-31,841.0559,844.4201,819.5248,820.1977
2000-04-03,852.4943,873.3524,839.7102,863.9326
2000-04-04,871.3340,871.3340,851.8215,854.5129
2000-04-05,860.5685,860.5685,847.7845,859.2228
2000-04-06,888.1554,900.9394,875.3713,881.4269
2000-04-07,894.8837,913.7234,891.5195,892.1923
2000-04-10,914.3962,948.0385,913.0505,942.6557
2000-04-11,935.2544,945.3471,925.1618,945.3471
2000-04-12,935.2539,944.0009,931.2169,938.6182
2000-04-13,898.2481,915.0692,854.5131,881.4269
2000-04-14,847.7847,863.2601,841.0562,841.0562
2000-04-17,787.2285,806.0682,779.1544,804.0496
2000-04-18,830.9633,835.6732,814.1422,830.9633
2000-04-19,857.8771,869.9883,851.1487,860.5685
2000-04-20,859.2228,886.1366,851.8215,859.2228
2000-04-21,864.6054,873.3524,837.6917,837.6917
2000-04-24,854.5129,874.6983,854.5129,873.3526
2000-04-25,859.8955,877.3895,855.1856,871.3339
2000-04-26,884.7907,897.5748,868.6425,868.6425
2000-04-27,857.8767,864.6051,850.4754,851.1483
2000-04-28,865.9513,878.0625,855.8586,867.9698
2000-05-01,908.3407,944.6743,901.6122,934.5816
2000-05-02,948.7113,963.5139,936.6001,960.1497
2000-05-03,960.1497,960.1497,960.1497,960.1497
2000-05-04,960.1497,960.1497,960.1497,960.1497
2000-05-05,960.1497,960.1497,960.1497,960.1497
2000-05-08,973.6067,977.6437,958.8041,964.1868
2000-05-09,964.1868,964.1868,964.1868,964.1868
2000-05-10,902.9579,931.2174,899.5937,922.4704
2000-05-11,895.5564,903.6305,888.1551,896.9021
2000-05-12,904.9763,911.0319,890.1737,899.5936
2000-05-15,918.4333,930.5445,914.3963,921.7975
2000-05-16,935.2545,946.6929,929.1989,941.9830
2000-05-17,968.8966,968.8966,921.7974,933.2358
2000-05-18,919.7790,923.1432,901.6122,912.3777
2000-05-19,908.3407,911.7050,877.3899,881.4269
2000-05-22,854.5129,862.5870,835.6732,854.5129
2000-05-23,841.0560,846.4387,820.8706,830.9633
2000-05-24,831.6364,845.7661,816.1609,838.3648
2000-05-25,865.2784,865.2784,843.0745,850.4758
2000-05-26,850.4757,871.3339,844.4201,864.6054
2000-05-29,877.3896,889.5008,869.3155,886.1366
2000-05-30,886.1366,886.1366,886.1366,886.1366
2000-05-31,908.3409,908.3409,879.4086,897.5754
2000-06-01,882.0994,894.8834,877.3895,894.8834
2000-06-02,908.3406,921.7975,901.6122,921.7975
2000-06-05,941.9830,945.3472,931.8903,941.9830
2000-06-06,915.0691,928.5260,904.9764,921.7975
2000-06-07,909.0132,909.0132,892.1921,908.3404
2000-06-08,894.8837,905.6492,892.1923,899.5936
2000-06-09,886.1366,909.0134,886.1366,903.6306
2000-06-12,909.0134,917.0875,898.2479,911.7048
2000-06-13,899.5937,921.7975,899.5937,921.7975
2000-06-14,928.5257,928.5257,906.9947,908.3404
2000-06-15,900.2663,921.7974,883.4452,886.1366
2000-06-16,894.8835,922.4701,892.8650,908.3404
2000-06-19,908.3406,921.7975,908.3406,921.7975
2000-06-20,935.2545,937.9459,928.5261,935.2545
2000-06-21,948.7110,978.9890,948.7110,976.9705
2000-06-22,990.4278,1005.9032,982.3536,995.8105
2000-06-23,982.3534,995.1374,981.0077,988.4090
2000-06-26,974.9522,991.7734,974.2794,991.1005
2000-06-27,989.0819,1005.9030,977.6435,1005.9030
2000-06-28,1002.5387,1005.9029,991.7731,1004.5572
2000-06-29,1002.5386,1019.3597,1002.5386,1015.3226
2000-06-30,1012.6314,1036.1810,1009.9400,1029.4525
2000-07-03,1029.4525,1036.1810,1024.7426,1032.8168
2000-07-04,1038.8722,1042.2364,1026.7610,1030.1252
2000-07-05,1015.9957,1028.7798,999.8475,1028.7798
2000-07-06,981.6805,985.0447,948.7111,948.7111
2000-07-07,962.1683,968.2239,941.9830,941.9830
2000-07-10,954.7663,961.4948,928.5254,928.5254
2000-07-11,928.5254,941.9823,921.1241,928.5254
2000-07-12,941.9829,955.4398,941.3100,945.3471
2000-07-13,954.0939,962.1680,942.6555,948.7111
2000-07-14,935.2545,941.3101,923.8161,929.8717
2000-07-17,923.1426,933.2353,923.1426,928.5254
2000-07-18,930.5445,930.5445,906.3220,915.0690
2000-07-19,930.5445,930.5445,906.3220,915.0690
2000-07-20,915.0690,915.0690,915.0690,915.0690
2000-07-21,913.7236,913.7236,884.7912,887.4826
2000-07-24,880.7539,880.7539,859.8957,872.6797
2000-07-25,847.7843,859.8955,847.7843,857.2042
2000-07-26,870.6611,880.0809,861.2413,874.6982
2000-07-27,861.2412,863.9326,850.4757,855.1856
2000-07-28,843.0744,864.6055,835.6731,852.4943
2000-07-31,835.0006,881.4269,835.0006,881.4269
2000-08-01,874.6983,880.0811,857.2044,876.7169
2000-08-02,861.2413,865.2784,857.8771,861.2413
2000-08-03,845.0933,849.1304,839.7105,841.0562
2000-08-04,832.9820,835.0005,827.5992,832.9820
2000-08-07,830.9635,842.4019,821.5437,829.6178
2000-08-08,843.0749,845.0934,831.6365,840.3835
2000-08-09,835.6731,846.4386,831.6360,837.6917
2000-08-10,851.1485,852.4942,837.6916,843.0743
2000-08-11,841.0558,843.0744,822.8890,832.3088
2000-08-14,820.8707,823.5621,810.7781,816.1608
2000-08-15,829.6178,831.6363,815.4880,820.8708
2000-08-16,834.3274,843.7472,827.5989,837.0187
2000-08-17,839.7102,840.3830,832.9817,837.6917
2000-08-18,837.0191,837.0191,825.5807,829.6178
2000-08-21,843.0744,848.4572,834.3275,847.1115
2000-08-22,843.0744,847.1115,832.9818,847.1115
2000-08-23,849.8028,872.0067,846.4386,868.6425
2000-08-24,866.6243,885.4639,864.6057,880.7540
2000-08-25,880.7541,882.0998,871.3343,881.4269
2000-08-28,894.8838,905.6493,885.4640,902.2851
2000-08-29,902.2849,904.9763,896.9022,903.6306
2000-08-30,891.5197,891.5197,872.0072,878.0628
2000-08-31,874.6982,876.0439,846.4388,849.8030
2000-09-01,861.2412,861.2412,827.5990,834.3275
2000-09-04,847.7845,863.9327,841.7288,850.4758
2000-09-05,837.6919,841.0561,816.8337,820.8708
2000-09-06,807.4138,818.1793,806.0681,808.0867
2000-09-07,807.4136,812.7964,802.0309,810.7778
2000-09-08,814.1423,827.5991,812.7966,824.2349
2000-09-11,810.7781,824.2350,808.0867,814.8151
2000-09-12,811.4507,816.1606,804.0494,808.7593
2000-09-13,812.7964,847.7844,812.7964,847.1115
2000-09-14,871.3342,890.1739,870.6614,884.7911
2000-09-15,884.7911,884.7911,884.7911,884.7911
2000-09-18,874.6983,891.5194,871.3341,882.0996
2000-09-19,851.8215,859.2228,845.7659,857.8771
2000-09-20,861.2414,880.7539,859.2229,873.3526
2000-09-21,873.3526,890.8466,859.8957,872.6797
2000-09-22,849.8028,857.8769,842.4015,847.7842
2000-09-25,861.2412,867.2968,831.6361,834.3275
2000-09-26,841.4241,854.9409,825.8797,827.2314
2000-09-27,813.7146,820.4730,813.0388,815.7421
2000-09-28,823.8520,838.0447,809.6593,815.0660
2000-09-29,842.0999,851.5617,831.2864,847.5067
2000-10-02,824.5278,830.6104,813.0384,830.6104
2000-10-03,821.1487,836.6931,817.0937,831.2864
2000-10-04,840.0724,860.3477,835.3415,854.9410
2000-10-05,861.6994,865.7545,854.9410,854.9410
2000-10-06,854.2650,866.4301,851.5616,861.6992
2000-10-09,861.6992,861.6992,861.6992,861.6992
2000-10-10,854.9409,876.5679,854.2651,868.4578
2000-10-11,868.4575,868.4575,850.2098,861.0233
2000-10-12,844.8033,867.7819,844.1274,858.3201
2000-10-13,844.8033,851.5617,838.7207,850.2100
2000-10-16,850.2100,850.2100,850.2100,850.2100
2000-10-17,861.6991,865.0783,851.5615,865.0783
2000-10-18,838.0446,838.0446,827.2311,833.9895
2000-10-19,834.6657,841.4241,817.7696,827.2314
2000-10-20,846.1549,848.1824,834.6656,844.1274
2000-10-23,834.6655,844.1273,831.9621,833.3138
2000-10-24,831.2866,835.3416,827.9073,829.9349
2000-10-25,827.9072,827.9072,819.7971,819.7971
2000-10-26,811.6868,834.6654,808.3076,830.6104
2000-10-27,830.6104,830.6104,830.6104,830.6104
2000-10-30,811.0111,814.3903,796.1425,799.5217
2000-10-31,807.6320,816.4179,785.3292,790.7359
2000-11-01,800.8735,813.7145,798.1701,807.6319
2000-11-02,802.2253,819.7972,800.1977,815.7421
2000-11-03,815.7421,815.7421,815.7421,815.7421
2000-11-06,830.6104,839.3964,825.8795,838.7205
2000-11-07,840.7477,840.7477,821.8242,827.9067
2000-11-08,824.5280,831.2864,815.7421,827.2314
2000-11-09,811.0111,814.3903,801.5493,807.6319
2000-11-10,805.6043,808.9835,792.7633,800.8734
2000-11-13,787.3566,787.3566,777.8948,785.3290
2000-11-14,790.7356,790.7356,767.7570,774.5154
2000-11-15,809.6593,809.6593,788.7082,792.0874
2000-11-16,805.6044,805.6044,773.1640,779.2466
2000-11-17,765.7295,773.8396,746.1301,752.2126
2000-11-20,752.2128,754.2403,740.7234,748.8336
2000-11-21,735.3167,735.3167,719.7723,729.2341
2000-11-22,742.7509,742.7509,715.7172,723.1515
2000-11-23,723.1515,723.1515,723.1515,723.1515
2000-11-24,736.6683,745.4542,729.9098,735.3166
2000-11-27,749.5094,763.0263,745.4543,750.1852
2000-11-28,743.4269,754.2404,738.0202,739.3719
2000-11-29,723.1515,733.2892,721.1240,724.5032
2000-11-30,710.9864,719.7724,710.3106,714.3657
2000-12-01,718.4206,743.4268,718.4206,734.6408
2000-12-04,748.1577,756.2678,747.4819,748.8336
2000-12-05,756.9437,756.9437,738.6960,740.0477
2000-12-06,763.7020,765.0537,753.5643,756.2677
2000-12-07,743.4266,750.1851,740.0474,744.7783
2000-12-08,731.2618,742.0753,731.2618,741.3994
2000-12-11,747.4817,763.7020,745.4542,758.9711
2000-12-12,767.0813,768.4330,756.2678,757.6195
2000-12-13,767.0811,770.4603,763.7018,767.0811
2000-12-14,757.6194,771.1363,757.6194,763.7020
2000-12-15,755.5920,766.4055,752.2128,756.9437
2000-12-18,743.4266,753.5643,742.0750,744.7783
2000-12-19,741.3992,741.3992,723.8273,729.9099
2000-12-20,726.5307,726.5307,704.9037,705.5796
2000-12-21,680.5733,708.2828,679.8975,708.2828
