Date,Open,High,Low,Close
1971-02-05,100.0000,100.0000,100.0000,100.0000
1971-02-08,100.8400,100.8400,100.8400,100.8400
1971-02-09,100.7600,100.7600,100.7600,100.7600
1971-02-10,100.6900,100.6900,100.6900,100.6900
1971-02-11,101.4500,101.4500,101.4500,101.4500
1971-02-12,102.0500,102.0500,102.0500,102.0500
1971-02-16,102.1900,102.1900,102.1900,102.1900
1971-02-17,101.7400,101.7400,101.7400,101.7400
1971-02-18,101.4200,101.4200,101.4200,101.4200
1971-02-19,100.7000,100.7000,100.7000,100.7000
1971-02-22,99.6800,99.6800,99.6800,99.6800
1971-02-23,99.7200,99.7200,99.7200,99.7200
1971-02-24,100.6400,100.6400,100.6400,100.6400
1971-02-25,101.2300,101.2300,101.2300,101.2300
1971-02-26,101.3400,101.3400,101.3400,101.3400
1971-03-01,101.7800,101.7800,101.7800,101.7800
1971-03-02,101.8400,101.8400,101.8400,101.8400
1971-03-03,102.0700,102.0700,102.0700,102.0700
1971-03-04,102.7800,102.7800,102.7800,102.7800
1971-03-05,103.0000,103.0000,103.0000,103.0000
1971-03-08,104.2300,104.2300,104.2300,104.2300
1971-03-09,104.4100,104.4100,104.4100,104.4100
1971-03-10,104.1400,104.1400,104.1400,104.1400
1971-03-11,104.2600,104.2600,104.2600,104.2600
1971-03-12,104.5000,104.5000,104.5000,104.5000
1971-03-15,105.1300,105.1300,105.1300,105.1300
1971-03-16,105.5600,105.5600,105.5600,105.5600
1971-03-17,105.5000,105.5000,105.5000,105.5000
1971-03-18,105.8800,105.8800,105.8800,105.8800
1971-03-19,105.7700,105.7700,105.7700,105.7700
1971-03-22,105.3700,105.3700,105.3700,105.3700
1971-03-23,105.1100,105.1100,105.1100,105.1100
1971-03-24,104.7000,104.7000,104.7000,104.7000
1971-03-25,104.6000,104.6000,104.6000,104.6000
1971-03-26,105.0700,105.0700,105.0700,105.0700
1971-03-29,105.2000,105.2000,105.2000,105.2000
1971-03-30,105.4400,105.4400,105.4400,105.4400
1971-03-31,105.9700,105.9700,105.9700,105.9700
1971-04-01,106.3400,106.3400,106.3400,106.3400
1971-04-02,106.8600,106.8600,106.8600,106.8600
1971-04-05,107.1700,107.1700,107.1700,107.1700
1971-04-06,107.5600,107.5600,107.5600,107.5600
1971-04-07,108.0600,108.0600,108.0600,108.0600
1971-04-08,108.3800,108.3800,108.3800,108.3800
1971-04-12,108.8700,108.8700,108.8700,108.8700
1971-04-13,108.8500,108.8500,108.8500,108.8500
1971-04-14,109.0800,109.0800,109.0800,109.0800
1971-04-15,109.6900,109.6900,109.6900,109.6900
1971-04-16,109.9600,109.9600,109.9600,109.9600
1971-04-19,110.1600,110.1600,110.1600,110.1600
1971-04-20,109.5300,109.5300,109.5300,109.5300
1971-04-21,109.5200,109.5200,109.5200,109.5200
1971-04-22,109.9900,109.9900,109.9900,109.9900
1971-04-23,110.6900,110.6900,110.6900,110.6900
1971-04-26,111.1300,111.1300,111.1300,111.1300
1971-04-27,111.6900,111.6900,111.6900,111.6900
1971-04-28,112.3700,112.3700,112.3700,112.3700
1971-04-29,112.4600,112.4600,112.4600,112.4600
1971-04-30,112.3000,112.3000,112.3000,112.3000
1971-05-03,111.3500,111.3500,111.3500,111.3500
1971-05-04,111.7700,111.7700,111.7700,111.7700
1971-05-05,111.6800,111.6800,111.6800,111.6800
1971-05-06,111.0600,111.0600,111.0600,111.0600
1971-05-07,110.6600,110.6600,110.6600,110.6600
1971-05-10,110.1500,110.1500,110.1500,110.1500
1971-05-11,110.3300,110.3300,110.3300,110.3300
1971-05-12,110.3700,110.3700,110.3700,110.3700
1971-05-13,110.5500,110.5500,110.5500,110.5500
1971-05-14,110.7400,110.7400,110.7400,110.7400
1971-05-17,109.1500,109.1500,109.1500,109.1500
1971-05-18,108.4000,108.4000,108.4000,108.4000
