Date,Open,High,Low,Close
1965-01-05,1257.7200,1257.7200,1257.7200,1257.7200
1965-01-06,1263.9900,1263.9900,1263.9900,1263.9900
1965-01-07,1274.2700,1274.2700,1274.2700,1274.2700
1965-01-08,1286.4301,1286.4301,1286.4301,1286.4301
1965-01-12,1288.5400,1288.5400,1288.5400,1288.5400
1965-01-13,1281.6700,1281.6700,1281.6700,1281.6700
1965-01-14,1289.5000,1289.5000,1289.5000,1289.5000
1965-01-18,1271.6801,1271.6801,1271.6801,1271.6801
1965-01-19,1270.3400,1270.3400,1270.3400,1270.3400
1965-01-20,1268.8800,1268.8800,1268.8800,1268.8800
1965-01-21,1270.4600,1270.4600,1270.4600,1270.4600
1965-01-22,1261.8300,1261.8300,1261.8300,1261.8300
1965-01-25,1249.7200,1249.7200,1249.7200,1249.7200
1965-01-26,1248.0500,1248.0500,1248.0500,1248.0500
1965-01-27,1258.2100,1258.2100,1258.2100,1258.2100
1965-01-28,1247.2000,1247.2000,1247.2000,1247.2000
1965-01-29,1242.2700,1242.2700,1242.2700,1242.2700
1965-02-01,1242.8300,1242.8300,1242.8300,1242.8300
1965-02-02,1238.7500,1238.7500,1238.7500,1238.7500
1965-02-03,1248.0300,1248.0300,1248.0300,1248.0300
1965-02-04,1261.6000,1261.6000,1261.6000,1261.6000
1965-02-05,1263.5900,1263.5900,1263.5900,1263.5900
1965-02-08,1258.9301,1258.9301,1258.9301,1258.9301
1965-02-09,1251.6801,1251.6801,1251.6801,1251.6801
1965-02-10,1248.6100,1248.6100,1248.6100,1248.6100
1965-02-12,1257.9399,1257.9399,1257.9399,1257.9399
1965-02-15,1249.5000,1249.5000,1249.5000,1249.5000
1965-02-16,1247.0100,1247.0100,1247.0100,1247.0100
1965-02-17,1237.0800,1237.0800,1237.0800,1237.0800
1965-02-18,1241.4100,1241.4100,1241.4100,1241.4100
1965-02-19,1237.3500,1237.3500,1237.3500,1237.3500
1965-02-22,1224.8199,1224.8199,1224.8199,1224.8199
1965-02-23,1223.5900,1223.5900,1223.5900,1223.5900
1965-02-24,1219.1000,1219.1000,1219.1000,1219.1000
1965-02-25,1216.7100,1216.7100,1216.7100,1216.7100
1965-02-26,1213.0699,1213.0699,1213.0699,1213.0699
1965-03-01,1206.4800,1206.4800,1206.4800,1206.4800
1965-03-02,1202.5400,1202.5400,1202.5400,1202.5400
1965-03-03,1207.8199,1207.8199,1207.8199,1207.8199
1965-03-04,1213.0300,1213.0300,1213.0300,1213.0300
1965-03-05,1209.6400,1209.6400,1209.6400,1209.6400
1965-03-08,1190.9800,1190.9800,1190.9800,1190.9800
1965-03-09,1178.4301,1178.4301,1178.4301,1178.4301
1965-03-10,1173.3400,1173.3400,1173.3400,1173.3400
1965-03-11,1164.6300,1164.6300,1164.6300,1164.6300
1965-03-12,1175.8600,1175.8600,1175.8600,1175.8600
1965-03-15,1188.4900,1188.4900,1188.4900,1188.4900
1965-03-16,1181.2200,1181.2200,1181.2200,1181.2200
1965-03-17,1175.8000,1175.8000,1175.8000,1175.8000
1965-03-18,1182.6899,1182.6899,1182.6899,1182.6899
1965-03-19,1175.8800,1175.8800,1175.8800,1175.8800
1965-03-23,1167.7900,1167.7900,1167.7900,1167.7900
1965-03-24,1157.0500,1157.0500,1157.0500,1157.0500
1965-03-25,1157.0699,1157.0699,1157.0699,1157.0699
1965-03-26,1162.7700,1162.7700,1162.7700,1162.7700
1965-03-29,1188.7900,1188.7900,1188.7900,1188.7900
1965-03-30,1139.8000,1139.8000,1139.8000,1139.8000
1965-03-31,1132.7700,1132.7700,1132.7700,1132.7700
1965-04-01,1127.5800,1127.5800,1127.5800,1127.5800
1965-04-02,1128.5699,1128.5699,1128.5699,1128.5699
1965-04-05,1124.4500,1124.4500,1124.4500,1124.4500
1965-04-06,1154.3900,1154.3900,1154.3900,1154.3900
1965-04-07,1159.9800,1159.9800,1159.9800,1159.9800
1965-04-08,1183.1200,1183.1200,1183.1200,1183.1200
1965-04-09,1180.5699,1180.5699,1180.5699,1180.5699
1965-04-12,1163.0000,1163.0000,1163.0000,1163.0000
1965-04-13,1149.4100,1149.4100,1149.4100,1149.4100
1965-04-14,1142.2300,1142.2300,1142.2300,1142.2300
1965-04-15,1161.7300,1161.7300,1161.7300,1161.7300
1965-04-16,1148.2100,1148.2100,1148.2100,1148.2100
1965-04-19,1136.1300,1136.1300,1136.1300,1136.1300
1965-04-20,1131.1700,1131.1700,1131.1700,1131.1700
1965-04-21,1119.8600,1119.8600,1119.8600,1119.8600
1965-04-22,1144.5500,1144.5500,1144.5500,1144.5500
1965-04-23,1133.3000,1133.3000,1133.3000,1133.3000
1965-04-26,1144.2200,1144.2200,1144.2200,1144.2200
1965-04-27,1150.0800,1150.0800,1150.0800,1150.0800
1965-04-28,1171.0601,1171.0601,1171.0601,1171.0601
1965-04-30,1176.6400,1176.6400,1176.6400,1176.6400
1965-05-06,1163.5100,1163.5100,1163.5100,1163.5100
1965-05-07,1162.6300,1162.6300,1162.6300,1162.6300
1965-05-10,1162.5000,1162.5000,1162.5000,1162.5000
1965-05-11,1163.8700,1163.8700,1163.8700,1163.8700
1965-05-12,1157.1700,1157.1700,1157.1700,1157.1700
1965-05-13,1159.8600,1159.8600,1159.8600,1159.8600
1965-05-14,1150.4700,1150.4700,1150.4700,1150.4700
1965-05-17,1149.0000,1149.0000,1149.0000,1149.0000
1965-05-18,1147.2500,1147.2500,1147.2500,1147.2500
1965-05-19,1140.7900,1140.7900,1140.7900,1140.7900
1965-05-20,1141.2300,1141.2300,1141.2300,1141.2300
1965-05-21,1142.6899,1142.6899,1142.6899,1142.6899
1965-05-24,1133.6300,1133.6300,1133.6300,1133.6300
1965-05-25,1124.8300,1124.8300,1124.8300,1124.8300
1965-05-26,1117.6600,1117.6600,1117.6600,1117.6600
1965-05-27,1101.0000,1101.0000,1101.0000,1101.0000
1965-05-28,1081.5100,1081.5100,1081.5100,1081.5100
1965-05-31,1096.6000,1096.6000,1096.6000,1096.6000
1965-06-01,1092.8500,1092.8500,1092.8500,1092.8500
1965-06-02,1119.2600,1119.2600,1119.2600,1119.2600
1965-06-03,1131.3199,1131.3199,1131.3199,1131.3199
1965-06-04,1120.5300,1120.5300,1120.5300,1120.5300
1965-06-07,1114.5200,1114.5200,1114.5200,1114.5200
1965-06-08,1109.4200,1109.4200,1109.4200,1109.4200
1965-06-09,1101.3500,1101.3500,1101.3500,1101.3500
1965-06-10,1090.3800,1090.3800,1090.3800,1090.3800
1965-06-11,1093.1400,1093.1400,1093.1400,1093.1400
1965-06-14,1080.2900,1080.2900,1080.2900,1080.2900
1965-06-15,1069.0699,1069.0699,1069.0699,1069.0699
1965-06-16,1062.6801,1062.6801,1062.6801,1062.6801
1965-06-17,1055.6000,1055.6000,1055.6000,1055.6000
1965-06-18,1080.2100,1080.2100,1080.2100,1080.2100
1965-06-21,1075.6000,1075.6000,1075.6000,1075.6000
1965-06-22,1104.0300,1104.0300,1104.0300,1104.0300
1965-06-23,1091.1700,1091.1700,1091.1700,1091.1700
1965-06-24,1090.6600,1090.6600,1090.6600,1090.6600
1965-06-25,1096.5601,1096.5601,1096.5601,1096.5601
1965-06-28,1072.4100,1072.4100,1072.4100,1072.4100
1965-06-29,1067.7200,1067.7200,1067.7200,1067.7200
1965-06-30,1060.1100,1060.1100,1060.1100,1060.1100
1965-07-01,1064.5900,1064.5900,1064.5900,1064.5900
1965-07-02,1065.8900,1065.8900,1065.8900,1065.8900
1965-07-05,1049.0699,1049.0699,1049.0699,1049.0699
1965-07-06,1046.9800,1046.9800,1046.9800,1046.9800
1965-07-07,1037.5200,1037.5200,1037.5200,1037.5200
1965-07-08,1038.4500,1038.4500,1038.4500,1038.4500
1965-07-09,1032.9500,1032.9500,1032.9500,1032.9500
1965-07-12,1020.4900,1020.4900,1020.4900,1020.4900
1965-07-13,1026.7700,1026.7700,1026.7700,1026.7700
1965-07-14,1033.1400,1033.1400,1033.1400,1033.1400
1965-07-15,1024.6801,1024.6801,1024.6801,1024.6801
1965-07-16,1037.9700,1037.9700,1037.9700,1037.9700
1965-07-19,1037.5200,1037.5200,1037.5200,1037.5200
1965-07-21,1045.6899,1045.6899,1045.6899,1045.6899
1965-07-22,1036.0699,1036.0699,1036.0699,1036.0699
1965-07-23,1027.8500,1027.8500,1027.8500,1027.8500
1965-07-26,1034.3400,1034.3400,1034.3400,1034.3400
1965-07-27,1052.0601,1052.0601,1052.0601,1052.0601
1965-07-28,1066.1899,1066.1899,1066.1899,1066.1899
1965-07-29,1085.4100,1085.4100,1085.4100,1085.4100
1965-07-30,1097.2000,1097.2000,1097.2000,1097.2000
1965-08-02,1120.5900,1120.5900,1120.5900,1120.5900
1965-08-03,1111.6899,1111.6899,1111.6899,1111.6899
1965-08-04,1135.3101,1135.3101,1135.3101,1135.3101
1965-08-05,1153.7100,1153.7100,1153.7100,1153.7100
1965-08-06,1145.8700,1145.8700,1145.8700,1145.8700
1965-08-09,1150.5699,1150.5699,1150.5699,1150.5699
1965-08-10,1133.0000,1133.0000,1133.0000,1133.0000
1965-08-11,1122.0900,1122.0900,1122.0900,1122.0900
1965-08-12,1130.3300,1130.3300,1130.3300,1130.3300
1965-08-13,1146.6600,1146.6600,1146.6600,1146.6600
1965-08-16,1158.3500,1158.3500,1158.3500,1158.3500
