Date,Open,High,Low,Close
2001-07-13,19.7893,20.1424,19.3185,19.8851
2001-07-16,19.5293,19.5840,18.7328,18.7328
2001-07-17,18.5987,19.5019,18.5850,19.5019
2001-07-18,18.9134,19.0530,18.6945,18.6945
2001-07-19,19.8167,19.8988,19.4882,19.4882
2001-07-20,19.0913,19.4061,19.0913,19.3924
2001-07-23,19.5019,19.5019,18.8039,18.8039
2001-07-24,18.6945,18.6945,18.2839,18.2976
2001-07-25,18.2291,18.5713,17.9691,17.9691
2001-07-26,18.7629,19.8304,18.6945,19.6388
2001-07-27,19.8440,20.3094,19.8440,20.0931
2001-07-30,20.1971,20.4024,20.0603,20.2272
2001-07-31,20.6378,20.6378,20.2272,20.2272
2001-08-01,21.0073,21.5410,21.0073,21.2810
2001-08-02,21.8148,21.8832,21.6642,21.6916
2001-08-03,21.6916,21.6916,21.2810,21.4179
2001-08-06,20.9526,21.1168,20.9115,21.0347
2001-08-07,20.6925,20.7090,20.5283,20.7090
2001-08-08,20.6214,20.9526,20.4736,20.4736
2001-08-09,19.7072,19.9125,19.7072,19.9125
2001-08-10,19.8714,19.9809,19.8714,19.9535
2001-08-13,20.3915,20.4736,20.2820,20.4325
2001-08-14,20.5831,20.5831,20.5146,20.5146
2001-08-15,20.1862,20.1862,19.7127,19.7127
2001-08-16,19.1598,19.4608,18.9682,19.4608
2001-08-17,19.1598,19.1598,18.7766,18.7766
2001-08-20,18.8860,19.0092,18.7629,18.9818
2001-08-21,18.9682,18.9682,18.5029,18.5029
2001-08-22,18.6644,19.0777,18.4755,19.0777
2001-08-23,19.1899,19.4307,19.1406,19.1735
2001-08-24,19.5074,20.1041,19.4335,20.0001
2001-08-27,20.1178,20.6351,20.1178,20.4462
2001-08-28,20.0767,20.1588,19.9672,19.9672
2001-08-29,20.0630,20.0630,19.2693,19.2693
2001-08-30,18.5166,18.7492,18.4755,18.7492
2001-08-31,18.6123,19.0174,18.6123,18.8423
2001-09-04,18.7766,19.0147,18.3386,18.3386
2001-09-05,18.2675,18.2675,17.6817,17.7091
2001-09-06,17.5175,17.7912,16.8059,16.8880
2001-09-07,16.7374,17.4299,16.7374,17.0111
2001-09-10,16.9263,17.1726,16.9263,16.9947
2001-09-17,15.6015,16.0887,15.4373,15.4373
2001-09-18,15.3962,15.5249,15.1937,15.5249
2001-09-19,14.0605,14.2193,13.0560,14.2193
2001-09-20,13.5897,14.0140,13.3023,13.3023
2001-09-21,12.4265,13.2202,12.4265,12.6591
2001-09-24,13.4118,13.9182,13.4118,13.9182
2001-09-25,14.1509,14.1509,13.5487,13.5487
2001-09-26,13.8771,13.8771,13.1381,13.1655
2001-09-27,12.5907,12.7686,12.2869,12.7686
2001-09-28,13.0697,13.2750,12.8370,13.1244
2001-10-01,12.9192,12.9192,12.6865,12.6865
2001-10-02,12.9328,12.9328,12.4538,12.4538
2001-10-03,12.3170,13.7813,12.2896,13.6445
2001-10-04,13.9593,14.7640,13.6582,14.4383
2001-10-05,14.2330,14.6162,13.6582,14.5258
2001-10-08,14.2330,15.2457,14.2056,15.1088
2001-10-09,14.7530,14.7530,14.3835,14.4246
2001-10-10,14.3972,15.2457,14.3014,15.2457
2001-10-11,15.8178,16.6498,15.8178,16.5978
2001-10-12,16.2037,16.4363,15.8205,16.3132
2001-10-15,16.1900,16.1900,15.8643,15.9710
2001-10-16,16.2311,16.4637,16.0121,16.4637
2001-10-17,16.8743,16.9153,15.7931,15.7931
2001-10-18,15.3962,15.5057,15.0267,15.2183
2001-10-19,14.9036,15.3388,14.9036,15.3388
2001-10-22,15.2046,16.0942,15.2046,16.0942
2001-10-23,16.2584,16.4938,15.9874,16.0258
2001-10-24,16.4774,16.6663,16.4008,16.5294
2001-10-25,16.1763,17.2438,15.9710,17.2438
2001-10-26,17.3533,17.3943,17.0796,17.3095
2001-10-29,16.7648,16.7648,16.3542,16.3542
2001-10-30,15.7521,15.7521,15.3360,15.3689
2001-10-31,15.9601,16.4610,15.9354,15.9354
2001-11-01,16.2447,16.9537,16.2447,16.9153
2001-11-02,17.2301,17.2410,16.8360,17.0796
2001-11-05,17.6954,17.7611,17.5996,17.7611
2001-11-06,17.4080,18.2976,17.4080,18.2565
2001-11-07,18.1142,18.5877,18.0813,18.3879
2001-11-08,18.6123,19.0284,17.8733,17.8897
2001-11-09,18.0704,18.2292,17.8624,18.0348
2001-11-12,17.6817,18.4892,17.6544,18.3852
2001-11-13,19.0777,19.2693,18.8642,19.2008
2001-11-14,19.7072,19.7072,18.8587,19.2966
2001-11-15,19.2008,19.3651,18.9271,19.1050
2001-11-16,19.2282,19.2692,18.8861,19.0366
2001-11-19,19.2337,19.2501,18.6808,18.9572
2001-11-20,18.7081,18.7492,17.8815,17.8815
2001-11-21,17.8049,18.1060,17.6653,18.1060
2001-11-23,18.1060,18.4509,18.1060,18.4071
2001-11-26,18.6671,19.1598,18.6671,19.1488
2001-11-27,18.7218,19.6223,18.6041,19.1680
2001-11-28,18.8997,18.8997,18.3140,18.3140
2001-11-29,18.4207,18.8423,18.2428,18.8149
2001-11-30,18.5850,18.6479,18.3441,18.5686
2001-12-03,18.3660,18.5932,18.2428,18.3249
2001-12-04,18.6260,19.2282,18.6260,19.2282
2001-12-05,19.7756,20.9115,19.7756,20.7610
2001-12-06,20.6241,20.8869,20.4079,20.6241
2001-12-07,20.4736,20.4736,19.7072,19.8851
2001-12-10,19.8167,19.8167,19.4253,19.4608
2001-12-11,19.8167,20.0630,19.6552,19.6689
2001-12-12,19.8851,19.9617,19.5019,19.6114
2001-12-13,19.3650,19.3650,18.6835,18.6835
2001-12-14,18.8176,19.2036,18.6808,19.0667
2001-12-17,19.3322,19.5840,19.2939,19.4882
2001-12-18,19.6771,19.6771,19.4745,19.6388
2001-12-19,18.8861,19.1379,18.6260,18.6260
2001-12-20,18.3386,18.4207,17.6762,17.6845
2001-12-21,18.0649,18.1306,17.9554,18.1306
2001-12-24,18.0923,18.0923,17.9965,17.9965
2001-12-26,18.3633,18.5083,18.0978,18.2155
2001-12-27,18.3414,18.5384,18.3414,18.4974
2001-12-28,18.7218,18.8532,18.5302,18.6534
2001-12-31,18.6671,18.6671,18.1470,18.2018
2002-01-02,18.5850,18.9408,18.4481,18.9408
2002-01-03,19.2966,20.4517,19.2966,20.3915
2002-01-04,20.7747,20.7993,19.9535,20.3203
2002-01-07,20.5283,20.5283,19.8167,19.8741
2002-01-08,19.8331,20.2519,19.6935,19.9262
2002-01-09,20.2546,20.5584,19.8167,19.8167
2002-01-10,19.7373,19.8331,19.5621,19.5922
2002-01-11,19.9262,19.9262,19.4335,19.4882
2002-01-14,19.4335,19.4417,19.0941,19.1078
2002-01-15,19.3377,19.3377,18.8888,19.1598
2002-01-16,18.5987,18.7410,18.3496,18.3496
2002-01-17,18.6397,18.8176,18.3249,18.7903
2002-01-18,18.2018,18.5247,18.2018,18.3113
2002-01-22,18.4207,18.4207,17.4901,17.4901
2002-01-23,17.8596,18.1087,17.5449,18.0102
2002-01-24,18.1744,18.5357,18.1744,18.2894
2002-01-25,18.2757,18.6123,18.2018,18.4673
2002-01-28,18.7218,18.8587,18.5083,18.7930
2002-01-29,19.0913,19.0913,18.3058,18.3605
2002-01-30,18.2565,18.8313,18.2565,18.8313
2002-01-31,19.1598,19.1598,18.7300,18.9791
2002-02-01,18.8724,18.8724,18.7903,18.7903
2002-02-04,18.8176,18.8176,18.3113,18.4399
2002-02-05,18.3386,18.5412,18.1744,18.1744
2002-02-06,18.3386,18.3386,18.0239,18.1197
2002-02-07,17.8870,18.1470,17.5312,17.5312
2002-02-08,17.6817,17.9253,17.4135,17.9144
2002-02-11,18.1060,18.6069,18.1060,18.6069
2002-02-12,18.4481,18.8231,18.2784,18.5029
2002-02-13,18.8806,18.9271,18.8614,18.9134
2002-02-14,19.1078,19.1707,18.6999,18.8122
2002-02-15,18.6397,18.6397,18.3605,18.3605
2002-02-19,18.0649,18.0704,17.5558,17.5558
2002-02-20,17.7365,17.9144,17.1945,17.9144
2002-02-21,17.3369,17.4545,16.7648,16.8059
2002-02-22,16.8332,16.9318,16.5705,16.8770
2002-02-25,17.0111,17.8460,17.0111,17.7638
2002-02-26,17.8596,17.9007,17.3615,17.5038
2002-02-27,17.7638,18.0074,17.3040,17.4244
2002-02-28,17.5668,17.5668,16.8880,16.8880
2002-03-01,17.4491,18.5029,17.4491,18.4536
2002-03-04,18.7492,19.7482,18.5877,19.6661
2002-03-05,19.6114,20.1451,19.6114,20.0001
2002-03-06,19.8167,20.0356,19.4389,19.9590
2002-03-07,20.3915,20.4435,19.8304,20.1287
2002-03-08,20.5831,20.9444,20.5831,20.8568
2002-03-11,20.4462,20.6871,20.1314,20.4407
2002-03-12,19.5977,19.7948,19.5019,19.7154
2002-03-13,19.3650,19.4280,19.0229,19.1789
2002-03-14,19.3650,19.3650,19.0722,19.1269
2002-03-15,19.1050,19.4608,19.1050,19.4088
2002-03-18,19.8714,20.0630,19.5977,19.6388
2002-03-19,19.7455,19.9645,19.6935,19.7619
2002-03-20,19.2857,19.3650,19.0804,19.0804
2002-03-21,19.1598,19.5703,18.9901,19.5703
2002-03-22,19.5156,19.6114,19.3514,19.3514
2002-03-25,19.4061,19.5430,18.8231,18.8231
2002-03-26,18.8587,19.3486,18.7355,19.1187
2002-03-27,19.2145,19.2802,18.9873,19.1488
2002-03-28,19.5567,19.7072,19.4964,19.4964
2002-04-01,19.2693,20.1150,19.2693,19.9809
2002-04-02,19.7619,19.7619,19.3952,19.3952
2002-04-03,19.3377,19.3514,18.8258,18.9846
2002-04-04,19.2008,19.2008,18.8450,19.0503
2002-04-05,18.9682,18.9819,18.8313,18.8915
2002-04-08,18.2647,18.9134,18.1333,18.8313
2002-04-09,18.7629,18.7629,18.3523,18.4071
2002-04-10,18.4481,18.5302,17.9445,18.4755
2002-04-11,18.2291,18.4700,17.9938,18.1060
2002-04-12,18.2291,18.2565,17.9034,18.2018
2002-04-15,18.4755,18.6124,18.2292,18.5987
2002-04-16,19.4335,19.6962,19.3952,19.6141
2002-04-17,19.9535,20.2738,19.7811,20.0411
2002-04-18,19.6388,19.7756,19.1598,19.4417
2002-04-19,19.5703,19.6935,19.1324,19.1871
2002-04-22,18.9134,18.9134,18.6945,18.8450
