Date,Open,High,Low,Close
1927-12-30,17.6600,17.6600,17.6600,17.6600
1928-01-03,17.7600,17.7600,17.7600,17.7600
1928-01-04,17.7200,17.7200,17.7200,17.7200
1928-01-05,17.5500,17.5500,17.5500,17.5500
1928-01-06,17.6600,17.6600,17.6600,17.6600
1928-01-09,17.5000,17.5000,17.5000,17.5000
1928-01-10,17.3700,17.3700,17.3700,17.3700
1928-01-11,17.3500,17.3500,17.3500,17.3500
1928-01-12,17.4700,17.4700,17.4700,17.4700
1928-01-13,17.5800,17.5800,17.5800,17.5800
1928-01-16,17.2900,17.2900,17.2900,17.2900
1928-01-17,17.3000,17.3000,17.3000,17.3000
1928-01-18,17.2600,17.2600,17.2600,17.2600
1928-01-19,17.3800,17.3800,17.3800,17.3800
1928-01-20,17.4800,17.4800,17.4800,17.4800
1928-01-23,17.6400,17.6400,17.6400,17.6400
1928-01-24,17.7100,17.7100,17.7100,17.7100
1928-01-25,17.5200,17.5200,17.5200,17.5200
1928-01-26,17.6300,17.6300,17.6300,17.6300
1928-01-27,17.6900,17.6900,17.6900,17.6900
1928-01-30,17.4900,17.4900,17.4900,17.4900
1928-01-31,17.5700,17.5700,17.5700,17.5700
1928-02-01,17.5300,17.5300,17.5300,17.5300
1928-02-02,17.6300,17.6300,17.6300,17.6300
1928-02-03,17.4000,17.4000,17.4000,17.4000
1928-02-06,17.4500,17.4500,17.4500,17.4500
1928-02-07,17.4400,17.4400,17.4400,17.4400
1928-02-08,17.4900,17.4900,17.4900,17.4900
1928-02-09,17.5500,17.5500,17.5500,17.5500
1928-02-10,17.5400,17.5400,17.5400,17.5400
1928-02-14,17.4400,17.4400,17.4400,17.4400
1928-02-15,17.4000,17.4000,17.4000,17.4000
1928-02-16,17.3500,17.3500,17.3500,17.3500
1928-02-17,17.0400,17.0400,17.0400,17.0400
1928-02-20,16.9500,16.9500,16.9500,16.9500
1928-02-21,17.1100,17.1100,17.1100,17.1100
1928-02-23,17.1300,17.1300,17.1300,17.1300
1928-02-24,17.1800,17.1800,17.1800,17.1800
1928-02-27,17.1100,17.1100,17.1100,17.1100
1928-02-28,17.1600,17.1600,17.1600,17.1600
1928-02-29,17.2600,17.2600,17.2600,17.2600
1928-03-01,17.3000,17.3000,17.3000,17.3000
1928-03-02,17.3000,17.3000,17.3000,17.3000
1928-03-05,17.5700,17.5700,17.5700,17.5700
1928-03-06,17.6700,17.6700,17.6700,17.6700
1928-03-07,17.5800,17.5800,17.5800,17.5800
1928-03-08,17.6400,17.6400,17.6400,17.6400
1928-03-09,17.9300,17.9300,17.9300,17.9300
1928-03-12,18.0000,18.0000,18.0000,18.0000
1928-03-13,17.9200,17.9200,17.9200,17.9200
1928-03-14,17.9300,17.9300,17.9300,17.9300
1928-03-15,18.0700,18.0700,18.0700,18.0700
